,state,gender,age,source,file,detail,duration
32,discomfort,f,48.0,donate_a_cry,1309B82C-F146-46F0-A723-45345AFA6EA8-1430704008-1.0-f-48-dc.wav,,7.0
33,discomfort,m,26.0,donate_a_cry,a40b9b8d-e4bc-457a-badf-f38bdbc0c358-1430016981469-1.7-m-26-dc.wav,,6.96
34,discomfort,f,48.0,donate_a_cry,ae5a462b-5424-4b5b-82d5-07ccb61654ab-1431064345173-1.7-f-48-dc.wav,,6.9
35,discomfort,m,26.0,donate_a_cry,665BDF6D-2897-49F9-8AD0-978B3B2A0468-1430530218-1.0-m-26-dc.wav,,7.0
36,ch,m,26.0,donate_a_cry,999bf14b-e417-4b44-b746-9253f81efe38-1430845035663-1.7-m-26-ch.wav,,6.9
37,discomfort,f,26.0,donate_a_cry,f5b29377-7cd6-4688-942c-5a07add39dc5-1437480263225-1.7-f-26-dc.wav,,7.06
38,ch,m,4.0,donate_a_cry,999bf14b-e417-4b44-b746-9253f81efe38-1430844979531-1.7-m-04-ch.wav,,6.9
39,discomfort,f,48.0,donate_a_cry,d6cda191-4962-4308-9a36-46d5648a95ed-1426942891562-1.4-f-48-dc.wav,,6.82
40,ch,m,26.0,donate_a_cry,999bf14b-e417-4b44-b746-9253f81efe38-1430845018393-1.7-m-26-ch.wav,,6.9
41,discomfort,m,4.0,donate_a_cry,d6cda191-4962-4308-9a36-46d5648a95ed-1431161889263-1.7-m-04-dc.wav,,6.84
42,discomfort,m,4.0,donate_a_cry,7b0e160e-0505-459e-8ecb-304d7afae9d2-1437486974312-1.7-m-04-dc.wav,,6.9
43,burping,f,26.0,donate_a_cry,7A864194-4B6B-4850-ABBF-0C2A8170107B-1436846915-1.1-f-26-bu.wav,,7.0
44,burping,f,26.0,donate_a_cry,7E4B9C14-F955-4BED-9B03-7F3096A6CBFF-1430232208-1.0-f-26-bu.wav,,7.0
45,burping,f,26.0,donate_a_cry,7E4B9C14-F955-4BED-9B03-7F3096A6CBFF-1430540826-1.0-f-26-bu.wav,,7.0
46,burping,m,48.0,donate_a_cry,5afc6a14-a9d8-45f8-b31d-c79dd87cc8c6-1430757039803-1.7-m-48-bu.wav,,6.66
47,burping,f,48.0,donate_a_cry,79FF400A-97E2-4701-987D-C7C850D5523C-1430089648-1.0-f-48-bu.wav,,7.0
48,burping,m,4.0,donate_a_cry,F24DE44B-762C-4149-AC92-96A5E57ED118-1430816949-1.0-m-04-bu.wav,,7.0
49,burping,m,26.0,donate_a_cry,af30880e-5f98-4dc0-b37a-be6b21fa0ba3-1431240072536-1.7-m-26-bu.wav,,6.54
50,burping,f,72.0,donate_a_cry,AEA8AE04-D00E-48A7-8A0B-6D87E2175121-1430563241-1.0-f-72-bu.wav,,7.0
51,tired,m,48.0,donate_a_cry,5B416CE8-2591-4531-9ADC-86D085B5D48B-1430144827-1.0-m-48-ti.wav,,7.0
52,tired,f,48.0,donate_a_cry,79FF400A-97E2-4701-987D-C7C850D5523C-1430089487-1.0-f-48-ti.wav,,7.0
53,tired,m,26.0,donate_a_cry,B2AABCE0-1F62-4B57-B58A-308959ABDFE7-1437188751-1.1-m-26-ti.wav,,7.0
54,tired,m,26.0,donate_a_cry,C421C6FE-DFEE-4080-8AEA-848E7CE4756B-1430548384-1.0-m-26-ti.wav,,7.0
55,tired,m,4.0,donate_a_cry,d6cda191-4962-4308-9a36-46d5648a95ed-1431616581736-1.7-m-04-ti.wav,,6.84
56,tired,f,4.0,donate_a_cry,1309B82C-F146-46F0-A723-45345AFA6EA8-1430059864-1.0-f-04-ti.wav,,7.0
57,tired,m,72.0,donate_a_cry,7A22229D-06C2-4AAA-9674-DE5DF1906B3A-1436891944-1.1-m-72-ti.wav,,7.0
58,tired,f,26.0,donate_a_cry,06c4cfa2-7fa6-4fda-91a1-ea186a4acc64-1430029246453-1.7-f-26-ti.wav,,6.52
59,tired,f,26.0,donate_a_cry,06c4cfa2-7fa6-4fda-91a1-ea186a4acc64-1430029221058-1.7-f-26-ti.wav,,6.68
60,tired,f,26.0,donate_a_cry,C421C6FE-DFEE-4080-8AEA-848E7CE4756B-1430548393-1.0-f-26-ti.wav,,7.0
61,tired,m,26.0,donate_a_cry,C5127741-5897-468C-A543-7F1B72569F0E-1428333964-1.0-m-26-ti.wav,,7.0
62,tired,f,26.0,donate_a_cry,D4665929-8695-4655-927F-63F09B2D4CB8-1430726940-1.0-f-26-ti.wav,,7.0
63,tired,m,72.0,donate_a_cry,7A22229D-06C2-4AAA-9674-DE5DF1906B3A-1436891957-1.1-m-72-ti.wav,,7.0
64,tired,f,26.0,donate_a_cry,eea17285-4ab9-4d34-a2f5-55fc8c866ac6-1431887695278-1.7-f-26-ti.wav,,6.92
65,tired,f,26.0,donate_a_cry,ca7d8d54-13cb-4060-8db4-90651b60c078-1434674792223-1.7-f-26-ti.wav,,6.78
66,tired,m,26.0,donate_a_cry,cecd525b-18fd-49e3-b2b9-dfb08b93ad95-1430110029205-1.7-m-26-ti.wav,,6.94
67,tired,m,4.0,donate_a_cry,d6cda191-4962-4308-9a36-46d5648a95ed-1431587899682-1.7-m-04-ti.wav,,6.82
68,tired,m,4.0,donate_a_cry,d6cda191-4962-4308-9a36-46d5648a95ed-1431587887997-1.7-m-04-ti.wav,,6.82
69,tired,m,26.0,donate_a_cry,B2AABCE0-1F62-4B57-B58A-308959ABDFE7-1437188766-1.1-m-26-ti.wav,,7.0
70,tired,f,48.0,donate_a_cry,1309B82C-F146-46F0-A723-45345AFA6EA8-1431172241-1.0-f-48-ti.wav,,7.0
71,tired,f,4.0,donate_a_cry,d5abedab-9ed5-48d0-a83b-fc00c33d6d6b-1430079192907-1.7-f-04-ti.wav,,6.88
72,tired,f,26.0,donate_a_cry,06c4cfa2-7fa6-4fda-91a1-ea186a4acc64-1430029237378-1.7-f-26-ti.wav,,6.66
73,tired,f,4.0,donate_a_cry,03ADDCFB-354E-416D-BF32-260CF47F7060-1433658024-1.1-f-04-ti.wav,,7.0
74,tired,f,26.0,donate_a_cry,b4c460d8-bd6b-4017-9bb8-2ae4ff0c5af1-1430418266487-1.7-f-26-ti.wav,,6.92
75,hungry,f,26.0,donate_a_cry,c10e2b0f-0cb8-4485-b82f-d453edf97db7-1430738986076-1.7-f-26-hu.wav,,6.88
76,hungry,m,26.0,donate_a_cry,8c66887c-8251-49fa-903b-c02d56405f58-1436856065644-1.7-m-26-hu.wav,,6.96
77,hungry,f,26.0,donate_a_cry,0f257dac-7d6f-4575-9192-e3b4dcd3d4ef-1430185441581-1.7-f-26-hu.wav,,6.96
78,hungry,f,22.0,donate_a_cry,2602b7c2-e96d-42f6-9767-f1ae74925ef8-1431376228657-1.7-f-22-hu.wav,,6.92
79,hungry,m,4.0,donate_a_cry,81724071-bc5e-4e38-8f35-85a691af5721-1430737552979-1.7-m-04-hu.wav,,6.94
80,hungry,f,4.0,donate_a_cry,9CFD61B9-BF13-406D-8B2F-F73CFAAF25CB-1430927728-1.0-f-04-hu.wav,,7.0
81,hungry,m,4.0,donate_a_cry,adcefe56-90b1-4120-83b1-93008cb6f7f0-1430731683554-1.7-m-04-hu.wav,,6.94
82,hungry,f,4.0,donate_a_cry,afa44e7f-4187-4f1c-9437-b49ba75f542e-1430629785235-1.7-f-04-hu.wav,,6.94
83,hungry,m,26.0,donate_a_cry,2439388A-9CF2-4D3B-9534-E6951FC9EAD4-1436877944-1.1-m-26-hu.wav,,7.0
84,hungry,m,4.0,donate_a_cry,21c07aff-0a8d-4e74-ad5e-e3c7f7bcb11b-1430105653796-1.7-m-04-hu.wav,,6.88
85,hungry,m,72.0,donate_a_cry,2ad6d558-32f2-4bfd-99c5-cbd31ee3bb11-1430064396119-1.7-m-72-hu.wav,,6.72
86,hungry,m,72.0,donate_a_cry,ad7fd28b-3e85-4e9b-9e18-af4bda64c60f-1430756389867-1.7-m-72-hu.wav,,6.86
87,hungry,f,26.0,donate_a_cry,8f5c01dc-6826-4076-a831-027ad61afdaf-1435873509176-1.7-f-26-hu.wav,,6.94
88,hungry,m,4.0,donate_a_cry,E2C4BCE0-99FD-49EC-8AB1-5EA5DF7DD8C5-1430042952-1.0-m-04-hu.wav,,7.0
89,hungry,f,26.0,donate_a_cry,9fe37482-6a64-401d-b8b9-3e47d6ed9ac0-1430047399844-1.7-f-26-hu.wav,,6.94
90,hungry,m,26.0,donate_a_cry,52dfc27a-fbc4-4d9f-bbcf-6406c919324a-1430041644396-1.7-m-26-hu.wav,,6.9
91,hungry,f,4.0,donate_a_cry,89964233-cbdb-4f34-a819-5f4b5ce3f5f5-1430049868816-1.7-f-04-hu.wav,,6.92
92,hungry,m,4.0,donate_a_cry,35D58153-7AB7-443D-BED0-2D7ABF73743F-1431855847-1.1-m-04-hu.wav,,7.0
93,hungry,m,26.0,donate_a_cry,02ead89b-aa02-453e-8b83-6ebde9fe7551-1430233132879-1.7-m-26-hu.wav,,6.9
94,hungry,m,26.0,donate_a_cry,3030d0e9-0c9b-4616-9b83-f10dc2dedbfd-1430053447333-1.7-m-26-hu.wav,,6.74
95,hungry,f,48.0,donate_a_cry,F2F97740-D638-4B6F-9E09-3AC65F06B448-1436849313-1.1-f-48-hu.wav,,7.0
96,hungry,m,4.0,donate_a_cry,F4A0C710-AC2D-42E0-8EA9-3E4CAC31EE20-1430318390-1.0-m-04-hu.wav,,7.0
97,hungry,m,4.0,donate_a_cry,d6cda191-4962-4308-9a36-46d5648a95ed-1431882032820-1.7-m-04-hu.wav,,6.82
98,hungry,f,72.0,donate_a_cry,7B924575-21FC-462A-969E-BABB46D1CBF5-1430055234-1.0-f-72-hu.wav,,7.0
99,hungry,f,4.0,donate_a_cry,aaa57dbd-7b88-454a-963e-6faa2f4ed4e7-1436910235521-1.7-f-04-hu.wav,,6.88
100,hungry,m,26.0,donate_a_cry,0c8f14a9-6999-485b-97a2-913c1cbf099c-1430760379259-1.7-m-26-hu.wav,,6.94
101,hungry,f,72.0,donate_a_cry,8f4dbf5a-b504-4452-b6ac-94e646a6a052-1430727806162-1.7-f-72-hu.wav,,6.92
102,hungry,f,72.0,donate_a_cry,8f4dbf5a-b504-4452-b6ac-94e646a6a052-1430727792958-1.7-f-72-hu.wav,,6.92
103,hungry,m,4.0,donate_a_cry,B0D9116D-8FA4-41AF-B626-BE508FD5CA04-1430832542-1.0-m-04-hu.wav,,7.0
104,hungry,m,4.0,donate_a_cry,7b0e160e-0505-459e-8ecb-304d7afae9d2-1437486941311-1.7-m-04-hu.wav,,6.9
105,hungry,f,26.0,donate_a_cry,40a4c760-facf-4911-b0a6-22eccc3ab18d-1430477717469-1.7-f-26-hu.wav,,7.06
106,hungry,m,26.0,donate_a_cry,3c0b4e07-33ec-4d68-a6b2-5f5dcb8cff8e-1430070829977-1.7-m-26-hu.wav,,7.06
107,hungry,f,4.0,donate_a_cry,aaa57dbd-7b88-454a-963e-6faa2f4ed4e7-1436982098411-1.7-f-04-hu.wav,,6.9
108,hungry,m,4.0,donate_a_cry,F24DE44B-762C-4149-AC92-96A5E57ED118-1430816936-1.0-m-04-hu.wav,,7.0
109,hungry,m,4.0,donate_a_cry,c7fef089-4a65-4b75-bfd4-bae0e3518adf-1430754388848-1.7-m-04-hu.wav,,6.72
110,hungry,m,26.0,donate_a_cry,3030d0e9-0c9b-4616-9b83-f10dc2dedbfd-1430053456045-1.7-m-26-hu.wav,,6.76
111,hungry,f,72.0,donate_a_cry,bfbc4d23-39b2-4b33-b686-2f048f062b60-1430077722675-1.7-f-72-hu.wav,,6.78
112,hungry,f,26.0,donate_a_cry,7A864194-4B6B-4850-ABBF-0C2A8170107B-1436846870-1.1-f-26-hu.wav,,7.0
113,hungry,m,4.0,donate_a_cry,d6cda191-4962-4308-9a36-46d5648a95ed-1431882043380-1.7-m-04-hu.wav,,6.84
114,hungry,f,48.0,donate_a_cry,459c3f85-5710-4efa-bcc9-8012aa1af55e-1430034880215-1.7-f-48-hu.wav,,6.94
115,hungry,m,26.0,donate_a_cry,3bb2445a-9ae9-4dc8-9a2e-86c696ffa405-1430122381138-1.7-m-26-hu.wav,,6.92
116,hungry,f,72.0,donate_a_cry,e4051e62-d21d-4bb8-a235-fd7e859ad787-1430740613780-1.7-f-72-hu.wav,,6.96
117,hungry,f,26.0,donate_a_cry,9fe37482-6a64-401d-b8b9-3e47d6ed9ac0-1430047590938-1.7-f-26-hu.wav,,6.94
118,hungry,m,22.0,donate_a_cry,323cab80-2551-4a46-8c3d-62c7a5264afa-1430382588301-1.7-m-22-hu.wav,,6.9
119,hungry,m,26.0,donate_a_cry,50DC5FBC-AC95-44F2-B55F-E4E5FB03AC96-1430007656-1.0-m-26-hu.wav,,7.0
120,hungry,f,26.0,donate_a_cry,177dc72e-d0f8-47ef-a5a7-3b46878e11a0-1430736533767-1.7-f-26-hu.wav,,6.92
121,hungry,f,26.0,donate_a_cry,40a4c760-facf-4911-b0a6-22eccc3ab18d-1430466164038-1.7-f-26-hu.wav,,7.06
122,hungry,f,26.0,donate_a_cry,9090c7a3-bebc-4485-aafc-64e4298da3ac-1430088396663-1.7-f-26-hu.wav,,6.94
123,hungry,m,4.0,donate_a_cry,24f94b49-c8bc-4ed2-b43a-80b099f12936-1430534715095-1.7-m-04-hu.wav,,6.86
124,hungry,m,48.0,donate_a_cry,549a46d8-9c84-430e-ade8-97eae2bef787-1430130760929-1.7-m-48-hu.wav,,6.86
125,hungry,f,72.0,donate_a_cry,8f4dbf5a-b504-4452-b6ac-94e646a6a052-1430735157938-1.7-f-72-hu.wav,,6.92
126,hungry,m,4.0,donate_a_cry,3DF341FA-E90B-4335-A51A-A9B0769150CE-1436859328-1.1-m-04-hu.wav,,7.0
127,hungry,m,4.0,donate_a_cry,8c920fd0-fa9f-4926-bcac-074767dcbfcd-1436856382717-1.7-m-04-hu.wav,,6.66
128,hungry,m,48.0,donate_a_cry,5afc6a14-a9d8-45f8-b31d-c79dd87cc8c6-1430757081034-1.7-m-48-hu.wav,,6.68
129,hungry,f,4.0,donate_a_cry,9CFD61B9-BF13-406D-8B2F-F73CFAAF25CB-1430927704-1.0-f-04-hu.wav,,7.0
130,hungry,m,72.0,donate_a_cry,B456CE9D-CBD4-43E5-899B-8B8B0483F17D-1431015486-1.0-m-72-hu.wav,,7.0
131,hungry,f,26.0,donate_a_cry,63CA92F7-973A-4DCA-A410-7B19811A2478-1430041884-1.0-f-26-hu.wav,,7.0
132,hungry,m,26.0,donate_a_cry,AE02C934-F4E5-4C73-818D-56AA6887EC18-1430279441-1.0-m-26-hu.wav,,7.0
133,hungry,m,72.0,donate_a_cry,bb2bdafb-0477-4be4-8c41-1a6192e8c6d4-1430637736064-1.7-m-72-hu.wav,,6.66
134,hungry,f,26.0,donate_a_cry,9fe37482-6a64-401d-b8b9-3e47d6ed9ac0-1430047362195-1.7-f-26-hu.wav,,6.92
135,hungry,m,72.0,donate_a_cry,F950E7E3-A1A5-4A01-99F4-9B155C3C6606-1430305696-1.0-m-72-hu.wav,,7.0
136,hungry,f,26.0,donate_a_cry,cda99fcf-d010-47b4-8987-f54be313ddbd-1429973787766-1.7-f-26-hu.wav,,6.94
137,hungry,f,72.0,donate_a_cry,8f4dbf5a-b504-4452-b6ac-94e646a6a052-1430735028906-1.7-f-72-hu.wav,,6.92
138,hungry,m,26.0,donate_a_cry,a40b9b8d-e4bc-457a-badf-f38bdbc0c358-1430016779981-1.7-m-26-hu.wav,,6.94
139,hungry,m,26.0,donate_a_cry,20E2B5A0-40A4-4FD8-8935-AFD1DB833510-1430127670-1.0-m-26-hu.wav,,7.0
140,hungry,m,48.0,donate_a_cry,719bb382-a592-46b7-82d2-8b4a625263b7-1430376501744-1.7-m-48-hu.wav,,6.92
141,hungry,f,26.0,donate_a_cry,24f2a4e1-7161-42a3-a2a2-a29a2422c0b8-1430814741368-1.7-f-26-hu.wav,,6.92
142,hungry,m,4.0,donate_a_cry,0F4B1065-4012-47C8-88B7-ACE11B1A536E-1430038775-1.0-m-04-hu.wav,,7.0
143,hungry,m,72.0,donate_a_cry,c6fd9d60-0fa7-44c0-b3ce-0192527d7b81-1430068155237-1.7-m-72-hu.wav,,6.78
144,hungry,m,48.0,donate_a_cry,D54D9C2A-56ED-4338-9D1F-2ADB4E081DAD-1429807587-1.0-m-48-hu.wav,,7.0
145,hungry,m,4.0,donate_a_cry,f896b69d-6241-4b51-9c45-0d628bc827c1-1430090274181-1.7-m-04-hu.wav,,6.9
146,hungry,f,72.0,donate_a_cry,DB95BF4A-E3E5-4429-A660-DBBCF486E6DF-1430664633-1.0-f-72-hu.wav,,7.0
147,hungry,f,26.0,donate_a_cry,37105492-58b1-432e-a1ce-ea154425abab-1430744728397-1.7-f-26-hu.wav,,6.9
148,hungry,m,48.0,donate_a_cry,719bb382-a592-46b7-82d2-8b4a625263b7-1430376483385-1.7-m-48-hu.wav,,6.94
149,hungry,m,26.0,donate_a_cry,8c66887c-8251-49fa-903b-c02d56405f58-1436856137837-1.7-m-26-hu.wav,,6.94
150,hungry,m,72.0,donate_a_cry,adb53808-8b13-4c08-b055-6653c75298be-1430133962749-1.7-m-72-hu.wav,,6.92
151,hungry,f,26.0,donate_a_cry,D833237F-1F7C-4338-BEDE-84C0CF5F4145-1430084007-1.0-f-26-hu.wav,,7.0
152,hungry,m,4.0,donate_a_cry,70d30513-0ec3-49e4-9976-e85785e85c2d-1431033405793-1.7-m-04-hu.wav,,6.96
153,hungry,m,26.0,donate_a_cry,818A32F4-D5D8-426C-B88C-81A8154AC81A-1430093571-1.0-m-26-hu.wav,,7.0
154,hungry,f,4.0,donate_a_cry,aaa57dbd-7b88-454a-963e-6faa2f4ed4e7-1436910225455-1.7-f-04-hu.wav,,7.04
155,hungry,m,26.0,donate_a_cry,F3BAEDDA-CDC0-4A65-90EE-5C372CEE4F3B-1437012044-1.1-m-26-hu.wav,,7.0
156,hungry,f,4.0,donate_a_cry,1259bcad-2308-46fa-9a36-b5d8f359886a-1430143668806-1.7-f-04-hu.wav,,6.86
157,hungry,m,48.0,donate_a_cry,19aae3d1-51c6-4ffb-aeb8-efb6ae7ba83e-1436861395462-1.7-m-48-hu.wav,,6.66
158,hungry,f,26.0,donate_a_cry,10A40438-09AA-4A21-83B4-8119F03F7A11-1430848101-1.0-f-26-hu.wav,,7.0
159,hungry,m,26.0,donate_a_cry,3bb2445a-9ae9-4dc8-9a2e-86c696ffa405-1430146536552-1.7-m-26-hu.wav,,6.86
160,hungry,m,72.0,donate_a_cry,C249BCDD-0F65-4D6A-82BE-43C4006E3DDB-1436891733-1.1-m-72-hu.wav,,7.0
161,hungry,m,26.0,donate_a_cry,3bb2445a-9ae9-4dc8-9a2e-86c696ffa405-1430122005544-1.7-m-26-hu.wav,,6.86
162,hungry,m,4.0,donate_a_cry,e0cc5beb-50e5-46ef-852e-c92106216e62-1430143334661-1.7-m-04-hu.wav,,6.64
163,hungry,f,26.0,donate_a_cry,10A40438-09AA-4A21-83B4-8119F03F7A11-1430848034-1.0-f-26-hu.wav,,7.0
164,hungry,m,48.0,donate_a_cry,D54D9C2A-56ED-4338-9D1F-2ADB4E081DAD-1430036283-1.0-m-48-hu.wav,,7.0
165,hungry,f,72.0,donate_a_cry,c42e76b9-a4c1-48f6-a91d-27ab83015874-1430737177322-1.7-f-72-hu.wav,,6.64
166,hungry,f,26.0,donate_a_cry,3BF71DAF-2A9E-4355-89D3-41AC37E94083-1437281306-1.1-f-26-hu.wav,,7.0
167,hungry,f,26.0,donate_a_cry,9090c7a3-bebc-4485-aafc-64e4298da3ac-1430109146143-1.7-f-26-hu.wav,,7.02
168,hungry,f,48.0,donate_a_cry,ae5a462b-5424-4b5b-82d5-07ccb61654ab-1431155960186-1.7-f-48-hu.wav,,6.9
169,hungry,m,26.0,donate_a_cry,8FDA58A7-FDC6-4421-855F-738E6E853E43-1429895780-1.0-m-26-hu.wav,,7.0
170,hungry,m,72.0,donate_a_cry,218e6fd7-f9c5-4490-afd7-c4fba174e7d2-1430209252819-1.7-m-72-hu.wav,,7.06
171,hungry,f,4.0,donate_a_cry,7e3de9b8-2be5-473f-b8c3-c2657f1317bb-1430006339251-1.7-f-04-hu.wav,,6.68
172,hungry,m,72.0,donate_a_cry,F1AF5794-AD3B-4181-B010-AB835E5BDA64-1430441342-1.0-m-72-hu.wav,,7.0
173,hungry,f,72.0,donate_a_cry,8f4dbf5a-b504-4452-b6ac-94e646a6a052-1430734962301-1.7-f-72-hu.wav,,6.92
174,hungry,m,4.0,donate_a_cry,FF2CD2F6-404D-4626-8718-6E6C751F63B8-1431104346-1.0-m-04-hu.wav,,7.0
175,hungry,f,26.0,donate_a_cry,7E4B9C14-F955-4BED-9B03-7F3096A6CBFF-1430232157-1.0-f-26-hu.wav,,7.0
176,hungry,m,26.0,donate_a_cry,cecd525b-18fd-49e3-b2b9-dfb08b93ad95-1430109958636-1.7-m-26-hu.wav,,6.94
177,hungry,m,4.0,donate_a_cry,6639C63C-F634-489C-91B3-E3DB5930EFD5-1431370257-1.1-m-04-hu.wav,,7.0
178,hungry,m,4.0,donate_a_cry,653bf718-94bd-40d0-af7c-8fe44e07640c-1430759214066-1.7-m-04-hu.wav,,6.86
179,hungry,m,4.0,donate_a_cry,1259bcad-2308-46fa-9a36-b5d8f359886a-1430143617162-1.7-m-04-hu.wav,,6.86
180,hungry,m,4.0,donate_a_cry,21c07aff-0a8d-4e74-ad5e-e3c7f7bcb11b-1430031235662-1.7-m-04-hu.wav,,6.86
181,hungry,f,26.0,donate_a_cry,4cefc13c-e7c0-4b5a-bddb-c40c103e640a-1431583470764-1.7-f-26-hu.wav,,6.78
182,hungry,f,26.0,donate_a_cry,a56e2494-d2b2-480e-af0b-de9ea8f33572-1436897427825-1.7-f-26-hu.wav,,6.96
183,hungry,m,4.0,donate_a_cry,3DF341FA-E90B-4335-A51A-A9B0769150CE-1436859277-1.1-m-04-hu.wav,,7.0
184,hungry,m,48.0,donate_a_cry,D54D9C2A-56ED-4338-9D1F-2ADB4E081DAD-1430036301-1.0-m-48-hu.wav,,7.0
185,hungry,f,72.0,donate_a_cry,8057932d-a6af-4d63-903b-37049686e176-1430919675907-1.7-f-72-hu.wav,,6.96
186,hungry,f,26.0,donate_a_cry,10A40438-09AA-4A21-83B4-8119F03F7A11-1430925172-1.0-f-26-hu.wav,,7.0
187,hungry,f,48.0,donate_a_cry,4be720ce-a5e5-4a48-930f-a212f8a239f6-1434737694572-1.7-f-48-hu.wav,,6.78
188,hungry,m,4.0,donate_a_cry,85FAB169-4DCC-406D-AC93-2F6A8D797DAB-1437632141-1.1-m-04-hu.wav,,7.0
189,hungry,m,26.0,donate_a_cry,8FDA58A7-FDC6-4421-855F-738E6E853E43-1429895742-1.0-m-26-hu.wav,,7.0
190,hungry,f,26.0,donate_a_cry,F3BAEDDA-CDC0-4A65-90EE-5C372CEE4F3B-1437012076-1.1-f-26-hu.wav,,7.0
191,hungry,m,22.0,donate_a_cry,189b78c6-9e78-43f2-bcb8-6cc8a462f4dc-1430807938301-1.7-m-22-hu.wav,,6.86
192,hungry,f,4.0,donate_a_cry,0a983cd2-0078-4698-a048-99ac01eb167a-1433917038889-1.7-f-04-hu.wav,,6.84
